id;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jenis_bencana;jumlah_kejadian;satuan;tahun
54;JAWA BARAT;3207;KABUPATEN CIAMIS;KEBAKARAN HUTAN;0;KEJADIAN;2022
55;JAWA BARAT;3207;KABUPATEN CIAMIS;GEMPA BUMI;0;KEJADIAN;2022
56;JAWA BARAT;3207;KABUPATEN CIAMIS;TSUNAMI;0;KEJADIAN;2022
57;JAWA BARAT;3208;KABUPATEN KUNINGAN;BANJIR;5;KEJADIAN;2022
58;JAWA BARAT;3208;KABUPATEN KUNINGAN;TANAH LONGSOR;13;KEJADIAN;2022
59;JAWA BARAT;3208;KABUPATEN KUNINGAN;ABRASI;0;KEJADIAN;2022
60;JAWA BARAT;3208;KABUPATEN KUNINGAN;NGIN PUTING BELIUNG;4;KEJADIAN;2022
61;JAWA BARAT;3208;KABUPATEN KUNINGAN;KEKERINGAN;0;KEJADIAN;2022
62;JAWA BARAT;3208;KABUPATEN KUNINGAN;KEBAKARAN HUTAN;0;KEJADIAN;2022
63;JAWA BARAT;3208;KABUPATEN KUNINGAN;GEMPA BUMI;0;KEJADIAN;2022
64;JAWA BARAT;3208;KABUPATEN KUNINGAN;TSUNAMI;0;KEJADIAN;2022
65;JAWA BARAT;3209;KABUPATEN CIREBON;BANJIR;12;KEJADIAN;2022
66;JAWA BARAT;3209;KABUPATEN CIREBON;TANAH LONGSOR;1;KEJADIAN;2022
67;JAWA BARAT;3209;KABUPATEN CIREBON;ABRASI;0;KEJADIAN;2022
68;JAWA BARAT;3209;KABUPATEN CIREBON;NGIN PUTING BELIUNG;8;KEJADIAN;2022
69;JAWA BARAT;3209;KABUPATEN CIREBON;KEKERINGAN;0;KEJADIAN;2022
70;JAWA BARAT;3209;KABUPATEN CIREBON;KEBAKARAN HUTAN;0;KEJADIAN;2022
71;JAWA BARAT;3209;KABUPATEN CIREBON;GEMPA BUMI;0;KEJADIAN;2022
72;JAWA BARAT;3209;KABUPATEN CIREBON;TSUNAMI;0;KEJADIAN;2022
73;JAWA BARAT;3210;KABUPATEN MAJALENGKA;BANJIR;4;KEJADIAN;2022
74;JAWA BARAT;3210;KABUPATEN MAJALENGKA;TANAH LONGSOR;15;KEJADIAN;2022
75;JAWA BARAT;3210;KABUPATEN MAJALENGKA;ABRASI;0;KEJADIAN;2022
76;JAWA BARAT;3210;KABUPATEN MAJALENGKA;NGIN PUTING BELIUNG;9;KEJADIAN;2022
